starttime	seconds	ctime	dtime	ttime	wait
Thu Sep 19 12:43:42 2024	1726731822	9	25	33	25
Thu Sep 19 12:43:43 2024	1726731823	14	19	33	17
Thu Sep 19 12:43:43 2024	1726731823	8	25	33	22
Thu Sep 19 12:43:42 2024	1726731822	10	23	33	23
Thu Sep 19 12:43:43 2024	1726731823	9	24	33	18
Thu Sep 19 12:43:42 2024	1726731822	10	23	33	23
Thu Sep 19 12:43:43 2024	1726731823	13	20	33	19
Thu Sep 19 12:43:43 2024	1726731823	7	26	33	15
Thu Sep 19 12:43:43 2024	1726731823	14	19	33	17
Thu Sep 19 12:43:43 2024	1726731823	14	19	33	17
Thu Sep 19 12:43:43 2024	1726731823	14	19	33	14
Thu Sep 19 12:43:43 2024	1726731823	10	23	33	13
Thu Sep 19 12:43:43 2024	1726731823	13	20	33	19
Thu Sep 19 12:43:43 2024	1726731823	8	26	33	17
Thu Sep 19 12:43:43 2024	1726731823	19	15	33	10
Thu Sep 19 12:43:43 2024	1726731823	7	26	33	15
Thu Sep 19 12:43:43 2024	1726731823	14	19	34	17
Thu Sep 19 12:43:43 2024	1726731823	9	24	34	21
Thu Sep 19 12:43:43 2024	1726731823	9	24	34	16
Thu Sep 19 12:43:42 2024	1726731822	2	32	34	26
Thu Sep 19 12:43:43 2024	1726731823	12	21	34	18
Thu Sep 19 12:43:43 2024	1726731823	12	21	34	18
Thu Sep 19 12:43:43 2024	1726731823	7	27	34	15
Thu Sep 19 12:43:43 2024	1726731823	11	23	34	15
Thu Sep 19 12:43:43 2024	1726731823	16	17	34	13
Thu Sep 19 12:43:43 2024	1726731823	10	24	34	16
Thu Sep 19 12:43:43 2024	1726731823	14	19	34	17
Thu Sep 19 12:43:43 2024	1726731823	14	19	34	17
Thu Sep 19 12:43:42 2024	1726731822	10	24	34	23
Thu Sep 19 12:43:43 2024	1726731823	12	22	34	18
Thu Sep 19 12:43:43 2024	1726731823	11	23	34	15
Thu Sep 19 12:43:43 2024	1726731823	17	17	34	14
Thu Sep 19 12:43:43 2024	1726731823	13	21	34	20
Thu Sep 19 12:43:43 2024	1726731823	8	26	34	15
Thu Sep 19 12:43:42 2024	1726731822	3	31	34	30
Thu Sep 19 12:43:42 2024	1726731822	3	31	34	30
Thu Sep 19 12:43:43 2024	1726731823	7	27	34	15
