starttime	seconds	ctime	dtime	ttime	wait
Thu Sep 19 12:43:20 2024	1726731800	4	13	16	6
Thu Sep 19 12:43:20 2024	1726731800	3	13	17	13
Thu Sep 19 12:43:20 2024	1726731800	1	16	17	7
Thu Sep 19 12:43:20 2024	1726731800	4	13	17	11
Thu Sep 19 12:43:20 2024	1726731800	3	14	17	13
Thu Sep 19 12:43:20 2024	1726731800	2	14	17	11
Thu Sep 19 12:43:20 2024	1726731800	0	17	17	15
Thu Sep 19 12:43:20 2024	1726731800	1	16	17	7
Thu Sep 19 12:43:20 2024	1726731800	3	14	17	12
Thu Sep 19 12:43:20 2024	1726731800	0	17	17	15
Thu Sep 19 12:43:20 2024	1726731800	7	10	17	9
Thu Sep 19 12:43:20 2024	1726731800	5	12	17	9
Thu Sep 19 12:43:20 2024	1726731800	3	14	17	12
Thu Sep 19 12:43:20 2024	1726731800	1	16	17	7
Thu Sep 19 12:43:20 2024	1726731800	3	13	17	12
Thu Sep 19 12:43:20 2024	1726731800	4	13	17	12
Thu Sep 19 12:43:20 2024	1726731800	3	14	17	13
Thu Sep 19 12:43:20 2024	1726731800	2	14	17	11
Thu Sep 19 12:43:20 2024	1726731800	5	12	17	9
Thu Sep 19 12:43:20 2024	1726731800	3	14	17	14
Thu Sep 19 12:43:20 2024	1726731800	5	12	17	3
Thu Sep 19 12:43:20 2024	1726731800	3	13	17	12
Thu Sep 19 12:43:20 2024	1726731800	4	13	17	12
Thu Sep 19 12:43:20 2024	1726731800	2	15	17	11
Thu Sep 19 12:43:20 2024	1726731800	3	14	17	13
Thu Sep 19 12:43:20 2024	1726731800	5	12	17	10
Thu Sep 19 12:43:20 2024	1726731800	4	13	17	12
Thu Sep 19 12:43:20 2024	1726731800	3	13	17	12
Thu Sep 19 12:43:20 2024	1726731800	5	12	17	9
Thu Sep 19 12:43:20 2024	1726731800	10	7	17	7
Thu Sep 19 12:43:20 2024	1726731800	2	15	17	15
Thu Sep 19 12:43:20 2024	1726731800	3	14	17	13
Thu Sep 19 12:43:20 2024	1726731800	3	14	17	12
Thu Sep 19 12:43:20 2024	1726731800	2	15	17	11
Thu Sep 19 12:43:20 2024	1726731800	3	14	17	14
Thu Sep 19 12:43:20 2024	1726731800	10	7	17	7
Thu Sep 19 12:43:20 2024	1726731800	0	17	17	14
Thu Sep 19 12:43:20 2024	1726731800	2	15	17	11
Thu Sep 19 12:43:20 2024	1726731800	3	14	17	12
Thu Sep 19 12:43:20 2024	1726731800	3	14	17	13
Thu Sep 19 12:43:20 2024	1726731800	2	15	17	11
Thu Sep 19 12:43:20 2024	1726731800	1	17	17	16
Thu Sep 19 12:43:20 2024	1726731800	6	11	17	8
Thu Sep 19 12:43:20 2024	1726731800	3	14	17	13
Thu Sep 19 12:43:20 2024	1726731800	1	17	17	16
Thu Sep 19 12:43:20 2024	1726731800	3	14	17	13
Thu Sep 19 12:43:20 2024	1726731800	2	16	17	11
Thu Sep 19 12:43:20 2024	1726731800	1	16	17	16
Thu Sep 19 12:43:20 2024	1726731800	3	14	17	12
Thu Sep 19 12:43:20 2024	1726731800	0	17	18	16
Thu Sep 19 12:43:20 2024	1726731800	4	13	18	13
Thu Sep 19 12:43:20 2024	1726731800	3	14	18	13
Thu Sep 19 12:43:20 2024	1726731800	2	16	18	15
Thu Sep 19 12:43:20 2024	1726731800	6	11	18	8
Thu Sep 19 12:43:20 2024	1726731800	3	14	18	12
Thu Sep 19 12:43:20 2024	1726731800	1	17	18	16
Thu Sep 19 12:43:20 2024	1726731800	2	15	18	8
Thu Sep 19 12:43:20 2024	1726731800	3	14	18	13
Thu Sep 19 12:43:20 2024	1726731800	1	17	18	11
Thu Sep 19 12:43:20 2024	1726731800	2	16	18	15
Thu Sep 19 12:43:20 2024	1726731800	1	17	18	11
Thu Sep 19 12:43:20 2024	1726731800	7	11	18	11
Thu Sep 19 12:43:20 2024	1726731800	3	15	18	12
Thu Sep 19 12:43:20 2024	1726731800	1	17	18	16
Thu Sep 19 12:43:20 2024	1726731800	4	14	18	13
Thu Sep 19 12:43:20 2024	1726731800	7	11	18	11
